"","year","fips","noncit_pop","moe"
"18638",2017,"27089",92,27
"18639",2018,"27089",79,31
"18640",2009,"28093",442,127
"18641",2010,"28093",682,132
"18642",2011,"28093",630,128
"18643",2012,"28093",591,129
"18644",2013,"28093",477,176
"18645",2014,"28093",300,142
"18646",2015,"28093",254,128
"18647",2016,"28093",278,213
"18648",2017,"28093",334,233
"18649",2018,"28093",309,214
"18650",2009,"40095",899,191
"18651",2010,"40095",933,165
"18652",2011,"40095",813,149
"18653",2012,"40095",755,163
"18654",2013,"40095",721,183
"18655",2014,"40095",743,169
"18656",2015,"40095",770,149
"18657",2016,"40095",865,141
"18658",2017,"40095",882,131
"18659",2018,"40095",991,153
"18660",2009,"46091",3,6
"18661",2010,"46091",36,32
"18662",2011,"46091",36,29
"18663",2012,"46091",60,49
"18664",2013,"46091",87,62
"18665",2014,"46091",139,68
"18666",2015,"46091",183,67
"18667",2016,"46091",186,76
"18668",2017,"46091",255,51
"18669",2018,"46091",204,72
"18670",2009,"47117",677,157
"18671",2010,"47117",724,144
"18672",2011,"47117",730,184
"18673",2012,"47117",717,158
"18674",2013,"47117",814,144
"18675",2014,"47117",746,194
"18676",2015,"47117",750,220
"18677",2016,"47117",470,148
"18678",2017,"47117",599,192
"18679",2018,"47117",857,348
"18680",2009,"54051",128,63
"18681",2010,"54051",136,75
"18682",2011,"54051",122,48
"18683",2012,"54051",119,48
"18684",2013,"54051",109,47
"18685",2014,"54051",79,49
"18686",2015,"54051",70,48
"18687",2016,"54051",35,29
"18688",2017,"54051",2,5
"18689",2018,"54051",29,33
"18690",2009,"12085",8137,670
"18691",2010,"12085",8823,846
"18692",2011,"12085",8131,827
"18693",2012,"12085",8185,836
"18694",2013,"12085",8578,627
"18695",2014,"12085",8921,667
"18696",2015,"12085",9032,657
"18697",2016,"12085",8692,746
"18698",2017,"12085",8810,852
"18699",2018,"12085",8355,998
"18700",2009,"18101",81,54
"18701",2010,"18101",29,34
"18702",2011,"18101",39,34
"18703",2012,"18101",23,25
"18704",2013,"18101",25,28
"18705",2014,"18101",22,27
"18706",2015,"18101",8,12
"18707",2016,"18101",22,26
"18708",2017,"18101",16,17
"18709",2018,"18101",18,25
"18710",2009,"21159",0,123
"18711",2010,"21159",0,123
"18712",2011,"21159",113,71
"18713",2012,"21159",95,59
"18714",2013,"21159",83,57
"18715",2014,"21159",70,64
"18716",2015,"21159",38,47
"18717",2016,"21159",35,51
"18718",2017,"21159",34,50
"18719",2018,"21159",10,18
"18720",2009,"27091",275,154
"18721",2010,"27091",199,92
"18722",2011,"27091",204,96
"18723",2012,"27091",257,108
"18724",2013,"27091",246,100
"18725",2014,"27091",314,109
"18726",2015,"27091",320,126
"18727",2016,"27091",320,167
"18728",2017,"27091",138,77
"18729",2018,"27091",92,59
"18730",2009,"37117",337,60
"18731",2010,"37117",307,109
"18732",2011,"37117",401,112
"18733",2012,"37117",433,99
"18734",2013,"37117",464,163
"18735",2014,"37117",429,169
"18736",2015,"37117",324,133
"18737",2016,"37117",207,78
"18738",2017,"37117",381,256
"18739",2018,"37117",310,87
"18740",2009,"48317",291,127
"18741",2010,"48317",391,176
"18742",2011,"48317",416,172
"18743",2012,"48317",459,152
"18744",2013,"48317",462,141
"18745",2014,"48317",508,185
"18746",2015,"48317",376,182
"18747",2016,"48317",345,155
"18748",2017,"48317",278,146
"18749",2018,"48317",256,153
"18750",2009,"51690",314,143
"18751",2010,"51690",260,105
"18752",2011,"51690",273,79
"18753",2012,"51690",430,220
"18754",2013,"51690",249,113
"18755",2014,"51690",305,135
"18756",2015,"51690",286,133
"18757",2016,"51690",273,115
"18758",2017,"51690",292,101
"18759",2018,"51690",240,96
"18760",2009,"17125",92,49
"18761",2010,"17125",112,55
"18762",2011,"17125",118,54
"18763",2012,"17125",76,42
"18764",2013,"17125",63,41
"18765",2014,"17125",124,57
"18766",2015,"17125",51,41
"18767",2016,"17125",48,44
"18768",2017,"17125",31,25
"18769",2018,"17125",28,26
"18770",2009,"21161",207,116
"18771",2010,"21161",166,62
"18772",2011,"21161",170,89
"18773",2012,"21161",180,70
"18774",2013,"21161",60,44
"18775",2014,"21161",33,32
"18776",2015,"21161",37,36
"18777",2016,"21161",240,130
"18778",2017,"21161",151,111
"18779",2018,"21161",254,145
"18780",2009,"26105",294,88
"18781",2010,"26105",257,70
"18782",2011,"26105",287,73
"18783",2012,"26105",332,98
"18784",2013,"26105",326,103
"18785",2014,"26105",320,103
"18786",2015,"26105",240,98
"18787",2016,"26105",303,109
"18788",2017,"26105",253,98
"18789",2018,"26105",274,94
"18790",2009,"48319",35,40
"18791",2010,"48319",28,37
"18792",2011,"48319",128,113
"18793",2012,"48319",286,129
"18794",2013,"48319",282,112
"18795",2014,"48319",259,119
"18796",2015,"48319",342,90
"18797",2016,"48319",321,129
"18798",2017,"48319",315,157
"18799",2018,"48319",353,159
"18800",2009,"53045",1378,258
"18801",2010,"53045",2058,487
"18802",2011,"53045",1713,355
"18803",2012,"53045",2052,363
"18804",2013,"53045",2339,335
"18805",2014,"53045",2298,343
"18806",2015,"53045",2301,402
"18807",2016,"53045",2516,384
"18808",2017,"53045",2387,348
"18809",2018,"53045",2628,362
"18810",2009,"54053",58,44
"18811",2010,"54053",62,50
"18812",2011,"54053",53,42
"18813",2012,"54053",15,17
"18814",2013,"54053",14,15
"18815",2014,"54053",16,18
"18816",2015,"54053",6,10
"18817",2016,"54053",120,138
"18818",2017,"54053",112,114
"18819",2018,"54053",100,111
"18820",2009,"17127",40,37
"18821",2010,"17127",36,37
"18822",2011,"17127",37,39
"18823",2012,"17127",19,14
"18824",2013,"17127",21,19
"18825",2014,"17127",40,41
"18826",2015,"17127",52,39
"18827",2016,"17127",39,40
"18828",2017,"17127",20,29
"18829",2018,"17127",18,32
"18830",2009,"48321",3370,676
"18831",2010,"48321",2894,632
"18832",2011,"48321",2592,507
"18833",2012,"48321",2376,446
"18834",2013,"48321",2392,442
"18835",2014,"48321",2408,451
"18836",2015,"48321",2478,552
"18837",2016,"48321",2448,472
"18838",2017,"48321",2395,398
"18839",2018,"48321",2545,528
"18840",2009,"02170",1242,360
"18841",2010,"02170",1162,282
"18842",2011,"02170",1450,608
"18843",2012,"02170",1275,543
"18844",2013,"02170",1288,521
"18845",2014,"02170",1490,516
"18846",2015,"02170",1642,482
"18847",2016,"02170",1345,267
"18848",2017,"02170",1567,326
"18849",2018,"02170",1665,326
"18850",2009,"51115",152,90
"18851",2010,"51115",58,47
"18852",2011,"51115",33,34
"18853",2012,"51115",63,57
"18854",2013,"51115",34,42
"18855",2014,"51115",30,46
"18856",2015,"51115",46,72
"18857",2016,"51115",30,51
"18858",2017,"51115",3,6
"18859",2018,"51115",3,6
"18860",2009,"15009",9747,1048
"18861",2010,"15009",10218,913
"18862",2011,"15009",10257,1146
"18863",2012,"15009",11694,928
"18864",2013,"15009",11792,1125
"18865",2014,"15009",12554,1198
"18866",2015,"15009",12417,1023
"18867",2016,"15009",13883,1296
"18868",2017,"15009",13552,1404
"18869",2018,"15009",14356,1501
"18870",2009,"72095",NA,NA
"18871",2010,"72095",NA,NA
"18872",2011,"72095",NA,NA
"18873",2012,"72095",NA,NA
"18874",2013,"72095",NA,NA
"18875",2014,"72095",NA,NA
"18876",2015,"72095",NA,NA
"18877",2016,"72095",NA,NA
"18878",2017,"72095",NA,NA
"18879",2018,"72095",NA,NA
"18880",2009,"47119",2014,286
"18881",2010,"47119",1759,318
"18882",2011,"47119",1748,320
"18883",2012,"47119",1640,304
"18884",2013,"47119",1778,336
"18885",2014,"47119",2067,338
"18886",2015,"47119",1911,362
"18887",2016,"47119",2002,427
"18888",2017,"47119",2136,410
"18889",2018,"47119",2241,506
"18890",2009,"48323",10430,884
"18891",2010,"48323",11170,828
"18892",2011,"48323",11332,858
"18893",2012,"48323",12017,760
"18894",2013,"48323",12027,914
"18895",2014,"48323",11963,961
"18896",2015,"48323",12105,988
"18897",2016,"48323",12264,1068
"18898",2017,"48323",11800,1143
"18899",2018,"48323",11245,983
"18900",2009,"72097",NA,NA
"18901",2010,"72097",NA,NA
"18902",2011,"72097",NA,NA
"18903",2012,"72097",NA,NA
"18904",2013,"72097",NA,NA
"18905",2014,"72097",NA,NA
"18906",2015,"72097",NA,NA
"18907",2016,"72097",NA,NA
"18908",2017,"72097",NA,NA
"18909",2018,"72097",NA,NA
"18910",2009,"40097",99,69
"18911",2010,"40097",120,81
"18912",2011,"40097",150,76
"18913",2012,"40097",177,74
"18914",2013,"40097",214,71
"18915",2014,"40097",270,84
"18916",2015,"40097",301,78
"18917",2016,"40097",283,81
"18918",2017,"40097",261,76
"18919",2018,"40097",282,80
"18920",2009,"40087",728,172
"18921",2010,"40087",705,215
"18922",2011,"40087",686,175
"18923",2012,"40087",606,195
"18924",2013,"40087",520,178
"18925",2014,"40087",571,168
"18926",2015,"40087",608,148
"18927",2016,"40087",580,125
"18928",2017,"40087",700,143
"18929",2018,"40087",791,169
"18930",2009,"30055",4,5
"18931",2010,"30055",3,5
"18932",2011,"30055",0,78
"18933",2012,"30055",0,10
"18934",2013,"30055",0,10
"18935",2014,"30055",3,6
"18936",2015,"30055",5,8
"18937",2016,"30055",6,8
"18938",2017,"30055",13,13
"18939",2018,"30055",12,10
"18940",2009,"46087",36,19
"18941",2010,"46087",59,27
"18942",2011,"46087",58,33
"18943",2012,"46087",67,37
"18944",2013,"46087",68,32
"18945",2014,"46087",55,32
"18946",2015,"46087",51,21
"18947",2016,"46087",72,37
"18948",2017,"46087",70,29
"18949",2018,"46087",65,27
"18950",2009,"45065",94,48
"18951",2010,"45065",72,31
"18952",2011,"45065",45,32
"18953",2012,"45065",34,26
"18954",2013,"45065",30,28
"18955",2014,"45065",4,6
"18956",2015,"45065",20,17
"18957",2016,"45065",18,13
"18958",2017,"45065",21,19
"18959",2018,"45065",52,32
"18960",2009,"21145",552,157
"18961",2010,"21145",566,165
"18962",2011,"21145",705,191
"18963",2012,"21145",800,196
"18964",2013,"21145",749,211
"18965",2014,"21145",859,281
"18966",2015,"21145",832,199
"18967",2016,"21145",639,185
"18968",2017,"21145",552,166
"18969",2018,"21145",488,196
"18970",2009,"21147",103,53
"18971",2010,"21147",102,48
"18972",2011,"21147",131,90
"18973",2012,"21147",135,85
"18974",2013,"21147",121,80
"18975",2014,"21147",139,90
"18976",2015,"21147",106,71
"18977",2016,"21147",53,64
"18978",2017,"21147",66,99
"18979",2018,"21147",146,151
"18980",2009,"48307",250,166
"18981",2010,"48307",281,188
"18982",2011,"48307",305,242
"18983",2012,"48307",347,208
"18984",2013,"48307",266,214
"18985",2014,"48307",263,183
"18986",2015,"48307",245,173
"18987",2016,"48307",225,163
"18988",2017,"48307",207,124
"18989",2018,"48307",165,113
"18990",2009,"40089",98,67
"18991",2010,"40089",105,84
"18992",2011,"40089",147,62
"18993",2012,"40089",212,101
"18994",2013,"40089",281,117
"18995",2014,"40089",306,93
"18996",2015,"40089",332,118
"18997",2016,"40089",460,100
"18998",2017,"40089",479,124
"18999",2018,"40089",470,115
"19000",2009,"29119",1387,284
"19001",2010,"29119",1091,212
"19002",2011,"29119",1239,206
"19003",2012,"29119",1251,217
"19004",2013,"29119",1330,251
"19005",2014,"29119",1444,230
"19006",2015,"29119",1490,165
"19007",2016,"29119",1498,147
"19008",2017,"29119",1415,140
"19009",2018,"29119",1496,140
"19010",2009,"17109",810,266
"19011",2010,"17109",558,197
"19012",2011,"17109",634,208
"19013",2012,"17109",673,200
"19014",2013,"17109",644,220
"19015",2014,"17109",676,226
"19016",2015,"17109",795,250
"19017",2016,"17109",855,288
"19018",2017,"17109",822,294
"19019",2018,"17109",825,344
"19020",2009,"37111",937,191
"19021",2010,"37111",1006,267
"19022",2011,"37111",1035,228
"19023",2012,"37111",1025,241
"19024",2013,"37111",1028,270
"19025",2014,"37111",1096,264
"19026",2015,"37111",1131,297
"19027",2016,"37111",1259,224
"19028",2017,"37111",1328,291
"19029",2018,"37111",1214,216
"19030",2009,"54047",19,25
"19031",2010,"54047",51,47
"19032",2011,"54047",24,21
"19033",2012,"54047",38,32
"19034",2013,"54047",120,66
"19035",2014,"54047",165,73
"19036",2015,"54047",187,83
"19037",2016,"54047",227,78
"19038",2017,"54047",227,80
"19039",2018,"54047",163,79
"19040",2009,"13189",130,145
"19041",2010,"13189",207,111
"19042",2011,"13189",194,94
"19043",2012,"13189",218,66
"19044",2013,"13189",228,68
"19045",2014,"13189",257,61
"19046",2015,"13189",299,69
"19047",2016,"13189",340,89
"19048",2017,"13189",217,94
"19049",2018,"13189",317,93
"19050",2009,"17111",17588,1029
"19051",2010,"17111",16656,1015
"19052",2011,"17111",16529,1292
"19053",2012,"17111",15634,985
"19054",2013,"17111",15592,1013
"19055",2014,"17111",15093,1042
"19056",2015,"17111",14835,1136
"19057",2016,"17111",13925,1164
"19058",2017,"17111",13250,994
"19059",2018,"17111",12981,1008
"19060",2009,"38049",35,20
"19061",2010,"38049",33,20
"19062",2011,"38049",43,31
"19063",2012,"38049",33,21
"19064",2013,"38049",51,36
"19065",2014,"38049",45,26
"19066",2015,"38049",49,29
"19067",2016,"38049",49,22
"19068",2017,"38049",47,23
"19069",2018,"38049",30,17
"19070",2009,"13191",29,36
"19071",2010,"13191",44,52
"19072",2011,"13191",0,98
"19073",2012,"13191",0,21
"19074",2013,"13191",29,45
"19075",2014,"13191",74,80
"19076",2015,"13191",46,54
"19077",2016,"13191",59,58
"19078",2017,"13191",82,74
"19079",2018,"13191",71,67
"19080",2009,"38051",14,15
"19081",2010,"38051",3,6
"19082",2011,"38051",16,14
"19083",2012,"38051",14,9
"19084",2013,"38051",21,20
"19085",2014,"38051",19,21
"19086",2015,"38051",15,11
"19087",2016,"38051",60,33
"19088",2017,"38051",40,29
"19089",2018,"38051",32,27
"19090",2009,"40091",25,28
"19091",2010,"40091",14,22
"19092",2011,"40091",2,8
"19093",2012,"40091",22,23
"19094",2013,"40091",34,13
"19095",2014,"40091",39,17
"19096",2015,"40091",46,20
"19097",2016,"40091",80,37
"19098",2017,"40091",96,66
"19099",2018,"40091",85,50
"19100",2009,"42083",117,48
"19101",2010,"42083",186,72
"19102",2011,"42083",198,84
"19103",2012,"42083",255,94
"19104",2013,"42083",292,114
"19105",2014,"42083",285,110
"19106",2015,"42083",344,106
"19107",2016,"42083",324,81
"19108",2017,"42083",318,91
"19109",2018,"42083",333,109
"19110",2009,"38053",5,9
"19111",2010,"38053",27,40
"19112",2011,"38053",49,50
"19113",2012,"38053",37,29
"19114",2013,"38053",31,28
"19115",2014,"38053",35,29
"19116",2015,"38053",25,16
"19117",2016,"38053",11,12
"19118",2017,"38053",8,8
"19119",2018,"38053",10,8
"19120",2009,"35031",1398,441
"19121",2010,"35031",1173,417
"19122",2011,"35031",1258,450
"19123",2012,"35031",1155,328
"19124",2013,"35031",1151,410
"19125",2014,"35031",971,383
"19126",2015,"35031",996,369
"19127",2016,"35031",707,227
"19128",2017,"35031",770,206
"19129",2018,"35031",938,251
"19130",2009,"17113",4874,545
"19131",2010,"17113",6235,534
"19132",2011,"17113",6847,725
"19133",2012,"17113",6971,616
"19134",2013,"17113",7223,633
"19135",2014,"17113",7274,611
"19136",2015,"17113",7479,603
"19137",2016,"17113",7794,751
"19138",2017,"17113",7800,815
"19139",2018,"17113",7649,747
"19140",2009,"21149",10,16
"19141",2010,"21149",13,16
"19142",2011,"21149",16,16
"19143",2012,"21149",19,19
"19144",2013,"21149",32,27
"19145",2014,"21149",28,24
"19146",2015,"21149",43,25
"19147",2016,"21149",52,29
"19148",2017,"21149",50,23
"19149",2018,"21149",49,29
"19150",2009,"38055",28,18
"19151",2010,"38055",17,13
"19152",2011,"38055",26,18
"19153",2012,"38055",28,20
"19154",2013,"38055",17,13
"19155",2014,"38055",24,18
"19156",2015,"38055",32,20
"19157",2016,"38055",26,14
"19158",2017,"38055",44,22
"19159",2018,"38055",44,22
"19160",2009,"48309",13747,1116
"19161",2010,"48309",13912,1246
"19162",2011,"48309",14512,1172
"19163",2012,"48309",13782,1074
"19164",2013,"48309",14249,881
"19165",2014,"48309",14224,999
"19166",2015,"48309",14679,1104
"19167",2016,"48309",14198,1062
"19168",2017,"48309",15308,1131
"19169",2018,"48309",15417,1296
"19170",2009,"27085",530,160
"19171",2010,"27085",540,158
"19172",2011,"27085",568,126
"19173",2012,"27085",641,135
"19174",2013,"27085",671,144
"19175",2014,"27085",748,128
"19176",2015,"27085",746,184
"19177",2016,"27085",818,180
"19178",2017,"27085",638,178
"19179",2018,"27085",732,204
"19180",2009,"47107",680,166
"19181",2010,"47107",806,158
"19182",2011,"47107",756,147
"19183",2012,"47107",872,279
"19184",2013,"47107",902,278
"19185",2014,"47107",1010,343
"19186",2015,"47107",948,274
"19187",2016,"47107",975,295
"19188",2017,"47107",878,280
"19189",2018,"47107",936,245
"19190",2009,"48311",16,20
"19191",2010,"48311",59,63
"19192",2011,"48311",53,51
"19193",2012,"48311",52,54
"19194",2013,"48311",65,63
"19195",2014,"48311",61,60
"19196",2015,"48311",33,39
"19197",2016,"48311",45,54
"19198",2017,"48311",24,22
"19199",2018,"48311",14,16
"19200",2009,"47109",72,64
"19201",2010,"47109",78,52
"19202",2011,"47109",135,91
"19203",2012,"47109",147,83
"19204",2013,"47109",146,89
"19205",2014,"47109",110,88
"19206",2015,"47109",77,53
"19207",2016,"47109",46,36
"19208",2017,"47109",72,40
"19209",2018,"47109",86,42
"19210",2009,"20113",221,87
"19211",2010,"20113",315,98
"19212",2011,"20113",314,107
"19213",2012,"20113",346,88
"19214",2013,"20113",338,100
"19215",2014,"20113",378,131
"19216",2015,"20113",309,119
"19217",2016,"20113",277,125
"19218",2017,"20113",247,95
"19219",2018,"20113",298,115
"19220",2009,"31117",0,99
"19221",2010,"31117",0,99
"19222",2011,"31117",0,74
"19223",2012,"31117",0,10
"19224",2013,"31117",0,9
"19225",2014,"31117",0,9
"19226",2015,"31117",0,9
"19227",2016,"31117",0,9
"19228",2017,"31117",0,9
"19229",2018,"31117",0,9
"19230",2009,"46089",10,10
"19231",2010,"46089",15,16
"19232",2011,"46089",14,16
"19233",2012,"46089",13,19
"19234",2013,"46089",12,18
"19235",2014,"46089",0,9
"19236",2015,"46089",0,9
"19237",2016,"46089",0,9
"19238",2017,"46089",0,9
"19239",2018,"46089",0,9
"19240",2009,"20119",258,55
"19241",2010,"20119",231,57
"19242",2011,"20119",249,61
"19243",2012,"20119",268,64
"19244",2013,"20119",283,58
"19245",2014,"20119",260,61
"19246",2015,"20119",287,70
"19247",2016,"20119",263,84
"19248",2017,"20119",285,67
"19249",2018,"20119",268,84
"19250",2009,"21163",219,103
"19251",2010,"21163",294,122
"19252",2011,"21163",347,146
"19253",2012,"21163",393,156
"19254",2013,"21163",301,126
"19255",2014,"21163",226,82
"19256",2015,"21163",236,107
"19257",2016,"21163",208,85
"19258",2017,"21163",178,92
"19259",2018,"21163",198,76
"19260",2009,"46093",206,95
"19261",2010,"46093",126,66
"19262",2011,"46093",196,108
"19263",2012,"46093",148,85
"19264",2013,"46093",133,74
"19265",2014,"46093",186,110
"19266",2015,"46093",188,97
"19267",2016,"46093",197,102
"19268",2017,"46093",213,90
"19269",2018,"46093",213,96
"19270",2009,"30059",3,5
"19271",2010,"30059",4,7
"19272",2011,"30059",11,15
"19273",2012,"30059",6,12
"19274",2013,"30059",15,21
"19275",2014,"30059",6,13
"19276",2015,"30059",9,16
"19277",2016,"30059",9,9
"19278",2017,"30059",17,14
"19279",2018,"30059",18,14
"19280",2009,"37119",75969,2491
"19281",2010,"37119",84104,2229
"19282",2011,"37119",85017,2443
"19283",2012,"37119",88061,2583
"19284",2013,"37119",88287,2292
"19285",2014,"37119",89458,2331
"19286",2015,"37119",92907,2462
"19287",2016,"37119",94892,2425
"19288",2017,"37119",99408,2413
"19289",2018,"37119",101743,2245
"19290",2009,"51117",515,152
"19291",2010,"51117",633,190
"19292",2011,"51117",645,135
"19293",2012,"51117",481,114
"19294",2013,"51117",328,138
"19295",2014,"51117",510,132
"19296",2015,"51117",426,117
"19297",2016,"51117",256,84
"19298",2017,"51117",183,123
"19299",2018,"51117",287,100
"19300",2009,"26107",317,114
"19301",2010,"26107",294,113
"19302",2011,"26107",382,90
"19303",2012,"26107",481,249
"19304",2013,"26107",456,211
"19305",2014,"26107",475,261
"19306",2015,"26107",675,392
"19307",2016,"26107",610,310
"19308",2017,"26107",478,243
"19309",2018,"26107",469,246
"19310",2009,"39103",1961,423
"19311",2010,"39103",2105,358
"19312",2011,"39103",2222,461
"19313",2012,"39103",2074,418
"19314",2013,"39103",1560,320
"19315",2014,"39103",1521,280
"19316",2015,"39103",1310,240
"19317",2016,"39103",1236,233
"19318",2017,"39103",1255,234
"19319",2018,"39103",1372,282
"19320",2009,"48325",1636,482
"19321",2010,"48325",1825,540
"19322",2011,"48325",1649,419
"19323",2012,"48325",1647,444
"19324",2013,"48325",1553,439
"19325",2014,"48325",1379,327
"19326",2015,"48325",1387,370
"19327",2016,"48325",1276,324
"19328",2017,"48325",1360,372
"19329",2018,"48325",1231,353
"19330",2009,"27093",278,98
"19331",2010,"27093",263,72
"19332",2011,"27093",288,78
"19333",2012,"27093",338,68
"19334",2013,"27093",387,69
"19335",2014,"27093",397,78
"19336",2015,"27093",394,98
"19337",2016,"27093",349,92
"19338",2017,"27093",372,113
"19339",2018,"27093",328,87
"19340",2009,"39105",69,46
"19341",2010,"39105",37,36
"19342",2011,"39105",43,65
"19343",2012,"39105",64,49
"19344",2013,"39105",61,45
"19345",2014,"39105",61,40
"19346",2015,"39105",59,41
"19347",2016,"39105",43,43
"19348",2017,"39105",14,16
"19349",2018,"39105",11,12
"19350",2009,"47121",64,84
"19351",2010,"47121",58,78
"19352",2011,"47121",55,68
"19353",2012,"47121",16,25
"19354",2013,"47121",0,19
"19355",2014,"47121",0,19
"19356",2015,"47121",0,19
"19357",2016,"47121",0,19
"19358",2017,"47121",0,19
"19359",2018,"47121",0,19
"19360",2009,"46095",0,99
"19361",2010,"46095",0,99
"19362",2011,"46095",0,74
"19363",2012,"46095",0,9
"19364",2013,"46095",5,8
"19365",2014,"46095",7,9
"19366",2015,"46095",5,7
"19367",2016,"46095",5,7
"19368",2017,"46095",7,12
"19369",2018,"46095",0,9
"19370",2009,"17129",14,14
"19371",2010,"17129",18,16
"19372",2011,"17129",29,24
"19373",2012,"17129",29,19
"19374",2013,"17129",25,16
"19375",2014,"17129",18,18
"19376",2015,"17129",17,23
"19377",2016,"17129",18,21
"19378",2017,"17129",26,26
"19379",2018,"17129",38,37
"19380",2009,"48327",84,80
"19381",2010,"48327",56,52
"19382",2011,"48327",60,48
"19383",2012,"48327",57,48
"19384",2013,"48327",54,45
"19385",2014,"48327",72,49
"19386",2015,"48327",61,42
"19387",2016,"48327",70,58
"19388",2017,"48327",105,60
"19389",2018,"48327",122,84
"19390",2009,"06045",6032,776
"19391",2010,"06045",6687,760
"19392",2011,"06045",6835,593
"19393",2012,"06045",7295,588
"19394",2013,"06045",7268,653
"19395",2014,"06045",7778,723
"19396",2015,"06045",7289,676
"19397",2016,"06045",7112,750
"19398",2017,"06045",7262,687
"19399",2018,"06045",7456,677
"19400",2009,"21165",0,123
"19401",2010,"21165",0,123
"19402",2011,"21165",31,36
"19403",2012,"21165",21,37
"19404",2013,"21165",46,46
"19405",2014,"21165",68,68
"19406",2015,"21165",109,84
"19407",2016,"21165",47,45
"19408",2017,"21165",50,49
"19409",2018,"21165",8,11
"19410",2009,"26109",244,175
"19411",2010,"26109",226,173
"19412",2011,"26109",71,45
"19413",2012,"26109",97,46
"19414",2013,"26109",93,55
"19415",2014,"26109",110,76
"19416",2015,"26109",67,38
"19417",2016,"26109",101,64
"19418",2017,"26109",91,39
"19419",2018,"26109",91,34
"19420",2009,"55078",0,93
"19421",2010,"55078",0,99
"19422",2011,"55078",40,55
"19423",2012,"55078",109,121
"19424",2013,"55078",110,121
"19425",2014,"55078",79,42
"19426",2015,"55078",95,40
"19427",2016,"55078",83,97
"19428",2017,"55078",9,13
"19429",2018,"55078",7,11
"19430",2009,"06047",39342,1855
"19431",2010,"06047",40742,1785
"19432",2011,"06047",41266,2115
"19433",2012,"06047",42468,1701
"19434",2013,"06047",42104,1887
"19435",2014,"06047",42669,1992
"19436",2015,"06047",42236,1365
"19437",2016,"06047",41976,1871
"19438",2017,"06047",41415,1906
"19439",2018,"06047",42291,1640
"19440",2009,"17131",59,32
"19441",2010,"17131",52,31
"19442",2011,"17131",36,23
"19443",2012,"17131",36,22
"19444",2013,"17131",68,30
"19445",2014,"17131",75,33
"19446",2015,"17131",42,25
"19447",2016,"17131",39,20
"19448",2017,"17131",57,27
"19449",2018,"17131",37,23
"19450",2009,"21167",208,188
"19451",2010,"21167",47,41
"19452",2011,"21167",58,44
"19453",2012,"21167",139,108
"19454",2013,"21167",131,90
"19455",2014,"21167",162,103
"19456",2015,"21167",281,128
"19457",2016,"21167",265,120
"19458",2017,"21167",355,136
"19459",2018,"21167",460,108
"19460",2009,"29129",31,22
"19461",2010,"29129",58,38
"19462",2011,"29129",56,35
"19463",2012,"29129",34,25
"19464",2013,"29129",38,25
"19465",2014,"29129",28,24
"19466",2015,"29129",23,14
"19467",2016,"29129",25,14
"19468",2017,"29129",30,18
"19469",2018,"29129",33,19
"19470",2009,"34021",38891,1840
"19471",2010,"34021",41948,1754
"19472",2011,"34021",41443,1953
"19473",2012,"34021",41010,2020
"19474",2013,"34021",42313,1677
"19475",2014,"34021",43866,2031
"19476",2015,"34021",43517,1997
"19477",2016,"34021",43744,1986
"19478",2017,"34021",44789,1875
"19479",2018,"34021",42961,1864
"19480",2009,"38057",15,13
"19481",2010,"38057",11,15
"19482",2011,"38057",11,12
"19483",2012,"38057",12,11
"19484",2013,"38057",9,8
"19485",2014,"38057",14,11
"19486",2015,"38057",13,13
"19487",2016,"38057",22,14
"19488",2017,"38057",55,43
"19489",2018,"38057",64,48
"19490",2009,"39107",53,38
"19491",2010,"39107",45,36
"19492",2011,"39107",101,57
"19493",2012,"39107",187,114
"19494",2013,"39107",180,96
"19495",2014,"39107",161,94
"19496",2015,"39107",201,83
"19497",2016,"39107",241,122
"19498",2017,"39107",261,101
"19499",2018,"39107",403,122
"19500",2009,"42085",664,262
"19501",2010,"42085",691,258
"19502",2011,"42085",860,301
"19503",2012,"42085",664,146
"19504",2013,"42085",633,142
"19505",2014,"42085",692,137
"19506",2015,"42085",674,141
"19507",2016,"42085",690,160
"19508",2017,"42085",835,208
"19509",2018,"42085",769,186
"19510",2009,"54055",308,185
"19511",2010,"54055",366,201
"19512",2011,"54055",318,150
"19513",2012,"54055",334,159
"19514",2013,"54055",384,143
"19515",2014,"54055",327,120
"19516",2015,"54055",288,101
"19517",2016,"54055",271,100
"19518",2017,"54055",292,111
"19519",2018,"54055",196,88
"19520",2009,"13199",184,98
"19521",2010,"13199",138,86
"19522",2011,"13199",49,48
"19523",2012,"13199",60,51
"19524",2013,"13199",24,29
"19525",2014,"13199",74,46
"19526",2015,"13199",174,117
"19527",2016,"13199",77,71
"19528",2017,"13199",130,110
"19529",2018,"13199",192,110
"19530",2009,"31121",0,99
"19531",2010,"31121",6,8
"19532",2011,"31121",20,23
"19533",2012,"31121",76,44
"19534",2013,"31121",76,49
"19535",2014,"31121",104,35
"19536",2015,"31121",99,36
"19537",2016,"31121",125,45
"19538",2017,"31121",104,28
"19539",2018,"31121",167,70
"19540",2009,"33013",2484,358
"19541",2010,"33013",2212,369
"19542",2011,"33013",2369,440
"19543",2012,"33013",2568,414
"19544",2013,"33013",2900,429
"19545",2014,"33013",3192,454
"19546",2015,"33013",3211,380
"19547",2016,"33013",3345,369
"19548",2017,"33013",3543,404
"19549",2018,"33013",3801,482
