"","year","fips","noncit_pop","moe"
"387",2015,"02016",1212,105
"388",2016,"02016",1228,103
"389",2017,"02016",1289,123
"390",2018,"02016",1353,130
"391",2009,"17003",99,105
"392",2010,"17003",95,86
"393",2011,"17003",82,67
"394",2012,"17003",69,44
"395",2013,"17003",45,31
"396",2014,"17003",57,38
"397",2015,"17003",44,31
"398",2016,"17003",31,28
"399",2017,"17003",34,33
"400",2018,"17003",27,25
"401",2009,"37003",870,241
"402",2010,"37003",935,192
"403",2011,"37003",891,225
"404",2012,"37003",653,218
"405",2013,"37003",745,184
"406",2014,"37003",661,198
"407",2015,"37003",623,232
"408",2016,"37003",772,233
"409",2017,"37003",1042,197
"410",2018,"37003",1004,214
"411",2009,"51510",22519,1791
"412",2010,"51510",20501,1183
"413",2011,"51510",21276,1373
"414",2012,"51510",22059,1378
"415",2013,"51510",23560,1178
"416",2014,"51510",24197,1310
"417",2015,"51510",25165,1523
"418",2016,"51510",26201,1564
"419",2017,"51510",26498,1589
"420",2018,"51510",25694,1757
"421",2009,"40003",55,49
"422",2010,"40003",59,41
"423",2011,"40003",157,114
"424",2012,"40003",100,58
"425",2013,"40003",90,52
"426",2014,"40003",99,44
"427",2015,"40003",107,56
"428",2016,"40003",121,59
"429",2017,"40003",120,63
"430",2018,"40003",132,60
"431",2009,"26003",96,57
"432",2010,"26003",104,58
"433",2011,"26003",78,44
"434",2012,"26003",76,42
"435",2013,"26003",47,33
"436",2014,"26003",48,40
"437",2015,"26003",42,31
"438",2016,"26003",49,31
"439",2017,"26003",50,27
"440",2018,"26003",49,24
"441",2009,"19005",849,133
"442",2010,"19005",540,131
"443",2011,"19005",561,149
"444",2012,"19005",551,140
"445",2013,"19005",411,68
"446",2014,"19005",437,73
"447",2015,"19005",490,115
"448",2016,"19005",440,97
"449",2017,"19005",441,115
"450",2018,"19005",460,125
"451",2009,"26005",2083,344
"452",2010,"26005",2042,336
"453",2011,"26005",2133,348
"454",2012,"26005",2103,312
"455",2013,"26005",2006,336
"456",2014,"26005",1987,409
"457",2015,"26005",2122,316
"458",2016,"26005",1653,357
"459",2017,"26005",1697,353
"460",2018,"26005",2077,407
"461",2009,"24001",502,291
"462",2010,"24001",528,225
"463",2011,"24001",738,245
"464",2012,"24001",753,227
"465",2013,"24001",900,299
"466",2014,"24001",978,340
"467",2015,"24001",1059,309
"468",2016,"24001",1036,285
"469",2017,"24001",1049,283
"470",2018,"24001",856,181
"471",2009,"36003",570,120
"472",2010,"36003",482,110
"473",2011,"36003",598,142
"474",2012,"36003",664,125
"475",2013,"36003",623,123
"476",2014,"36003",563,101
"477",2015,"36003",553,108
"478",2016,"36003",625,113
"479",2017,"36003",618,124
"480",2018,"36003",644,106
"481",2009,"37005",1437,1642
"482",2010,"37005",916,628
